flight_id,departure_airport,arrival_airport,scheduled_departure_datetime,actual_departure_datetime,scheduled_arrival_datetime,actual_arrival_datetime,distance_miles
26840,CVG,ONT,2022-01-02 08:45:00,2022-01-02 10:52:00,2022-01-02 13:53:00,2022-01-02 16:11:00,1850
54571,SJC,ATL,2022-01-02 08:53:00,2022-01-02 08:54:00,2022-01-02 14:39:00,2022-01-02 14:39:00,2111
14167,PWM,MIA,2022-01-02 09:03:00,2022-01-02 09:02:00,2022-01-02 12:56:00,2022-01-02 12:59:00,1355
15031,TPA,CLT,2022-01-02 09:05:00,2022-01-02 09:10:00,2022-01-02 10:51:00,2022-01-02 10:59:00,508
37346,SAT,STL,2022-01-02 09:21:00,2022-01-02 09:41:00,2022-01-02 11:49:00,2022-01-02 12:09:00,786
26200,AUS,BUF,2022-01-02 09:38:00,2022-01-02 09:38:00,2022-01-02 13:33:00,2022-01-02 13:39:00,1365
22549,PBI,IAD,2022-01-02 09:39:00,2022-01-02 09:44:00,2022-01-02 12:18:00,2022-01-02 12:21:00,861
56719,SAN,PWM,2022-01-02 09:44:00,2022-01-02 09:45:00,2022-01-02 16:47:00,2022-01-02 16:51:00,2618
36513,PHL,PIT,2022-01-02 10:37:00,2022-01-02 10:43:00,2022-01-02 11:47:00,2022-01-02 11:49:00,267
24956,PWM,BUF,2022-01-02 10:38:00,2022-01-02 10:42:00,2022-01-02 12:12:00,2022-01-02 12:16:00,426
38802,ONT,DTW,2022-01-02 10:40:00,2022-01-02 11:01:00,2022-01-02 15:59:00,2022-01-02 16:24:00,1930
61807,MCO,SAV,2022-01-02 11:04:00,2022-01-02 11:08:00,2022-01-02 12:12:00,2022-01-02 12:13:00,255
85944,TUL,STL,2022-01-02 11:10:00,2022-01-02 11:28:00,2022-01-02 12:33:00,2022-01-02 12:53:00,350
85457,MEM,ORD,2022-01-02 11:14:00,2022-01-02 11:11:00,2022-01-02 12:58:00,2022-01-02 12:57:00,492
73276,MDW,PWM,2022-01-02 11:24:00,2022-01-02 11:21:00,2022-01-02 14:08:00,2022-01-02 14:06:00,893
41991,MDW,TPA,2022-01-02 11:24:00,2022-01-02 11:23:00,2022-01-02 14:24:00,2022-01-02 14:19:00,998
65237,PDX,DEN,2022-01-02 11:35:00,2022-01-02 11:30:00,2022-01-02 14:33:00,2022-01-02 14:26:00,989
61708,ANC,SFO,2022-01-02 11:38:00,2022-01-02 11:40:00,2022-01-02 17:10:00,2022-01-02 17:05:00,2016
57340,SAT,PIT,2022-01-02 12:26:00,2022-01-02 12:20:00,2022-01-02 16:07:00,2022-01-02 16:08:00,1276
62187,SAV,MSY,2022-01-02 12:37:00,2022-01-02 12:38:00,2022-01-02 14:30:00,2022-01-02 14:50:00,555
21477,SAN,SFO,2022-01-02 12:37:00,2022-01-02 12:37:00,2022-01-02 14:14:00,2022-01-02 14:20:00,446
78501,ONT,RIC,2022-01-02 12:48:00,2022-01-02 12:52:00,2022-01-02 18:56:00,2022-01-02 19:27:00,2253
64757,SEA,SAT,2022-01-02 12:54:00,2022-01-02 13:01:00,2022-01-02 17:50:00,2022-01-02 18:14:00,1774
67422,JFK,SYR,2022-01-02 13:02:00,2022-01-02 13:07:00,2022-01-02 14:03:00,2022-01-02 14:21:00,208
14888,SMF,CLT,2022-01-02 13:18:00,2022-01-02 13:28:00,2022-01-02 19:24:00,2022-01-02 19:33:00,2239
79776,JFK,BUF,2022-01-02 13:20:00,2022-01-02 13:21:00,2022-01-02 14:35:00,2022-01-02 14:39:00,300
68826,HNL,RIC,2022-01-02 13:24:00,2022-01-02 13:25:00,2022-01-03 02:00:00,2022-01-03 02:01:00,4838
76911,LGA,FAI,2022-01-02 13:33:00,2022-01-02 13:37:00,2022-01-02 22:12:00,2022-01-02 22:19:00,3259
28387,CMH,FLL,2022-01-02 14:48:00,2022-01-02 14:52:00,2022-01-02 17:44:00,2022-01-02 17:47:00,975
69934,DEN,MEM,2022-01-02 15:04:00,2022-01-02 15:06:00,2022-01-02 17:44:00,2022-01-02 17:56:00,871
48034,RDU,SAT,2022-01-02 15:08:00,2022-01-02 15:11:00,2022-01-02 18:41:00,2022-01-02 18:57:00,1222
30573,MEM,PIT,2022-01-02 15:41:00,2022-01-02 15:39:00,2022-01-02 17:49:00,2022-01-02 18:10:00,651
55367,JAX,ANC,2022-01-02 15:46:00,2022-01-02 16:01:00,2022-01-03 01:28:00,2022-01-03 01:41:00,3681
37774,JAX,MEM,2022-01-02 15:56:00,2022-01-02 16:00:00,2022-01-02 17:53:00,2022-01-02 17:59:00,574
86622,PDX,LAX,2022-01-02 16:29:00,2022-01-02 16:32:00,2022-01-02 19:04:00,2022-01-02 19:09:00,834
17168,LAX,SMF,2022-01-02 16:38:00,2022-01-02 17:36:00,2022-01-02 18:03:00,2022-01-02 19:30:00,373
56316,SLC,ADW,2022-01-02 16:45:00,2022-01-02 17:10:00,2022-01-02 21:53:00,2022-01-02 22:21:00,1857
27344,TUL,PWM,2022-01-02 16:48:00,2022-01-02 16:52:00,2022-01-02 20:55:00,2022-01-02 20:51:00,1443
32858,FAI,IAH,2022-01-02 17:04:00,2022-01-02 17:10:00,2022-01-03 01:46:00,2022-01-03 01:58:00,3277
57161,JFK,STL,2022-01-02 17:13:00,2022-01-02 17:25:00,2022-01-02 19:56:00,2022-01-02 20:09:00,890
69437,RIC,RSW,2022-01-02 17:34:00,2022-01-02 17:39:00,2022-01-02 20:04:00,2022-01-02 20:13:00,801
20965,BNA,DEN,2022-01-02 18:15:00,2022-01-02 18:12:00,2022-01-02 21:16:00,2022-01-02 21:15:00,1011
74469,PHL,RDU,2022-01-02 18:23:00,2022-01-02 18:22:00,2022-01-02 19:44:00,2022-01-02 19:44:00,337
52819,TPA,BWI,2022-01-02 18:31:00,2022-01-02 18:36:00,2022-01-02 21:07:00,2022-01-02 21:13:00,844
18112,MSY,SEA,2022-01-02 18:33:00,2022-01-02 18:42:00,2022-01-03 00:16:00,2022-01-03 00:25:00,2084
55660,SFO,EWR,2022-01-02 18:41:00,2022-01-02 18:47:00,2022-01-03 01:35:00,2022-01-03 01:45:00,2559
91525,MCO,LGA,2022-01-02 18:46:00,2022-01-02 18:43:00,2022-01-02 21:39:00,2022-01-02 21:36:00,951
45775,CLT,ADW,2022-01-02 18:53:00,2022-01-02 18:55:00,2022-01-02 20:13:00,2022-01-02 20:27:00,335
77922,FLL,RDU,2022-01-02 19:00:00,2022-01-02 19:09:00,2022-01-02 21:12:00,2022-01-02 21:22:00,682
48916,ONT,OAK,2022-01-02 19:09:00,2022-01-02 19:11:00,2022-01-02 20:33:00,2022-01-02 20:32:00,361
77450,TUL,BOS,2022-01-02 19:30:00,2022-01-02 19:38:00,2022-01-02 23:29:00,2022-01-02 23:44:00,1391
16223,SAT,EWR,2022-01-02 19:47:00,2022-01-02 19:52:00,2022-01-03 00:12:00,2022-01-03 00:16:00,1567
10484,SAN,SMF,2022-01-02 19:52:00,2022-01-02 19:57:00,2022-01-02 21:34:00,2022-01-02 21:40:00,480
88883,IAD,PIT,2022-01-02 19:57:00,2022-01-02 19:59:00,2022-01-02 20:55:00,2022-01-02 20:54:00,182
87858,SEA,CMH,2022-01-02 20:02:00,2022-01-02 20:04:00,2022-01-03 01:34:00,2022-01-03 01:28:00,2011
36501,SAV,LAX,2022-01-02 20:15:00,2022-01-02 20:18:00,2022-01-03 02:07:00,2022-01-03 02:05:00,2147
64917,BUF,MKE,2022-01-02 20:23:00,2022-01-02 20:26:00,2022-01-02 22:03:00,2022-01-02 22:11:00,463
50804,PHX,ADW,2022-01-02 21:07:00,2022-01-02 21:13:00,2022-01-03 02:35:00,2022-01-03 02:41:00,1984
57407,SAV,IAH,2022-01-02 21:12:00,2022-01-02 21:07:00,2022-01-02 23:49:00,2022-01-02 23:44:00,849
87862,MEM,PWM,2022-01-02 21:33:00,2022-01-02 21:46:00,2022-01-03 01:03:00,2022-01-03 01:28:00,1203
74610,PVD,ORD,2022-01-02 21:40:00,2022-01-02 21:43:00,2022-01-03 00:17:00,2022-01-03 00:34:00,847
64709,IAH,PHL,2022-01-02 21:59:00,2022-01-02 21:59:00,2022-01-03 01:47:00,2022-01-03 01:47:00,1323
71675,CLT,AUS,2022-01-03 06:17:00,2022-01-03 06:19:00,2022-01-03 09:21:00,2022-01-03 09:24:00,1030
69979,ONT,DTW,2022-01-03 06:54:00,2022-01-03 06:51:00,2022-01-03 12:13:00,2022-01-03 12:11:00,1930
34453,IND,SAT,2022-01-03 07:16:00,2022-01-03 07:19:00,2022-01-03 10:14:00,2022-01-03 10:13:00,985
34133,ATL,SNA,2022-01-03 07:44:00,2022-01-03 07:48:00,2022-01-03 13:01:00,2022-01-03 13:09:00,1915
55764,SFO,PBI,2022-01-03 07:51:00,2022-01-03 07:54:00,2022-01-03 14:46:00,2022-01-03 14:44:00,2563
22038,BNA,STL,2022-01-03 08:12:00,2022-01-03 08:12:00,2022-01-03 09:22:00,2022-01-03 09:23:00,271
59835,SFO,MSP,2022-01-03 08:29:00,2022-01-03 08:33:00,2022-01-03 12:57:00,2022-01-03 13:03:00,1585
71667,DTW,CMH,2022-01-03 08:38:00,2022-01-03 09:03:00,2022-01-03 09:31:00,2022-01-03 09:59:00,154
61838,CVG,ONT,2022-01-03 08:45:00,2022-01-03 08:45:00,2022-01-03 13:53:00,2022-01-03 13:53:00,1850
65181,PWM,MIA,2022-01-03 09:03:00,2022-01-03 09:06:00,2022-01-03 12:56:00,2022-01-03 12:58:00,1355
80653,TPA,CLT,2022-01-03 09:05:00,2022-01-03 09:07:00,2022-01-03 10:51:00,2022-01-03 10:57:00,508
23330,SAT,STL,2022-01-03 09:21:00,2022-01-03 09:45:00,2022-01-03 11:49:00,2022-01-03 12:12:00,786
67537,AUS,BUF,2022-01-03 09:38:00,2022-01-03 09:40:00,2022-01-03 13:33:00,2022-01-03 13:36:00,1365
87635,DTW,SNA,2022-01-03 09:43:00,2022-01-03 09:45:00,2022-01-03 15:06:00,2022-01-03 15:08:00,1956
68479,PHL,PIT,2022-01-03 10:37:00,2022-01-03 11:06:00,2022-01-03 11:47:00,2022-01-03 12:18:00,267
58144,ONT,DTW,2022-01-03 10:40:00,2022-01-03 10:38:00,2022-01-03 15:59:00,2022-01-03 15:52:00,1930
68471,SAV,IND,2022-01-03 10:43:00,2022-01-03 10:40:00,2022-01-03 12:42:00,2022-01-03 12:37:00,596
79302,JAX,SJC,2022-01-03 11:02:00,2022-01-03 11:03:00,2022-01-03 17:22:00,2022-01-03 17:20:00,2337
61006,MCO,SAV,2022-01-03 11:04:00,2022-01-03 11:03:00,2022-01-03 12:12:00,2022-01-03 12:11:00,255
76446,MDW,TPA,2022-01-03 11:24:00,2022-01-03 11:27:00,2022-01-03 14:24:00,2022-01-03 14:31:00,998
28591,PDX,DEN,2022-01-03 11:35:00,2022-01-03 11:35:00,2022-01-03 14:33:00,2022-01-03 14:31:00,989
21517,ANC,SFO,2022-01-03 11:38:00,2022-01-03 11:42:00,2022-01-03 17:10:00,2022-01-03 17:14:00,2016
31165,MSY,HNL,2022-01-03 11:46:00,2022-01-03 11:46:00,2022-01-03 22:46:00,2022-01-03 22:54:00,4199
43561,SAV,MSY,2022-01-03 12:37:00,2022-01-03 12:38:00,2022-01-03 14:30:00,2022-01-03 14:36:00,555
15775,SAN,SFO,2022-01-03 12:37:00,2022-01-03 12:33:00,2022-01-03 14:14:00,2022-01-03 14:08:00,446
62087,JFK,BUF,2022-01-03 13:20:00,2022-01-03 13:20:00,2022-01-03 14:35:00,2022-01-03 14:32:00,300
63065,IAD,TUL,2022-01-03 13:22:00,2022-01-03 13:45:00,2022-01-03 16:25:00,2022-01-03 16:52:00,1025
25434,HNL,RIC,2022-01-03 13:24:00,2022-01-03 13:24:00,2022-01-04 02:00:00,2022-01-04 01:59:00,4838
27992,LGA,FAI,2022-01-03 13:33:00,2022-01-03 13:31:00,2022-01-03 22:12:00,2022-01-03 22:07:00,3259
19689,DTW,BWI,2022-01-03 13:49:00,2022-01-03 13:48:00,2022-01-03 15:20:00,2022-01-03 15:17:00,408
88956,LAX,SFB,2022-01-03 14:28:00,2022-01-03 14:25:00,2022-01-03 20:30:00,2022-01-03 20:29:00,2210
54230,CMH,FLL,2022-01-03 14:48:00,2022-01-03 14:47:00,2022-01-03 17:44:00,2022-01-03 17:44:00,975
55488,DEN,MEM,2022-01-03 15:04:00,2022-01-03 14:59:00,2022-01-03 17:44:00,2022-01-03 17:43:00,871
95163,RDU,SAT,2022-01-03 15:08:00,2022-01-03 15:13:00,2022-01-03 18:41:00,2022-01-03 18:43:00,1222
89341,MEM,PIT,2022-01-03 15:41:00,2022-01-03 15:50:00,2022-01-03 17:49:00,2022-01-03 17:53:00,651
74716,MSP,IAD,2022-01-03 15:41:00,2022-01-03 15:45:00,2022-01-03 18:27:00,2022-01-03 18:36:00,906
26554,JAX,ANC,2022-01-03 15:46:00,2022-01-03 15:48:00,2022-01-04 01:28:00,2022-01-04 01:35:00,3681
95633,CVG,MEM,2022-01-03 16:18:00,2022-01-03 16:28:00,2022-01-03 17:48:00,2022-01-03 17:58:00,402
75735,PDX,LAX,2022-01-03 16:29:00,2022-01-03 16:28:00,2022-01-03 19:04:00,2022-01-03 19:05:00,834
67738,MSY,TUL,2022-01-03 16:33:00,2022-01-03 16:32:00,2022-01-03 18:24:00,2022-01-03 18:27:00,538
50011,LAX,SMF,2022-01-03 16:38:00,2022-01-03 16:41:00,2022-01-03 18:03:00,2022-01-03 18:09:00,373
27534,SLC,ADW,2022-01-03 16:45:00,2022-01-03 16:44:00,2022-01-03 21:53:00,2022-01-03 22:03:00,1857
85744,OAK,MCO,2022-01-03 16:46:00,2022-01-03 16:45:00,2022-01-03 23:21:00,2022-01-03 23:18:00,2434
12982,TUL,PWM,2022-01-03 16:48:00,2022-01-03 16:50:00,2022-01-03 20:55:00,2022-01-03 20:54:00,1443
44635,FAI,IAH,2022-01-03 17:04:00,2022-01-03 17:09:00,2022-01-04 01:46:00,2022-01-04 01:58:00,3277
39941,JFK,STL,2022-01-03 17:13:00,2022-01-03 17:35:00,2022-01-03 19:56:00,2022-01-03 20:21:00,890
78853,MSP,PHX,2022-01-03 17:30:00,2022-01-03 17:25:00,2022-01-03 21:11:00,2022-01-03 21:07:00,1274
19664,RIC,RSW,2022-01-03 17:34:00,2022-01-03 17:36:00,2022-01-03 20:04:00,2022-01-03 20:07:00,801
45768,RSW,SFO,2022-01-03 17:38:00,2022-01-03 17:39:00,2022-01-04 00:20:00,2022-01-04 00:24:00,2477
24207,LGA,BWI,2022-01-03 17:48:00,2022-01-03 17:56:00,2022-01-03 18:46:00,2022-01-03 18:50:00,184
18829,BNA,DEN,2022-01-03 18:15:00,2022-01-03 18:17:00,2022-01-03 21:16:00,2022-01-03 21:15:00,1011
12038,PHL,RDU,2022-01-03 18:23:00,2022-01-03 18:31:00,2022-01-03 19:44:00,2022-01-03 19:57:00,337
76421,TPA,BWI,2022-01-03 18:31:00,2022-01-03 18:28:00,2022-01-03 21:07:00,2022-01-03 21:00:00,844
90648,MCO,LGA,2022-01-03 18:46:00,2022-01-03 18:54:00,2022-01-03 21:39:00,2022-01-03 21:49:00,951
25725,CLT,ADW,2022-01-03 18:53:00,2022-01-03 18:49:00,2022-01-03 20:13:00,2022-01-03 20:09:00,335
80571,SDF,BUF,2022-01-03 18:55:00,2022-01-03 18:49:00,2022-01-03 20:39:00,2022-01-03 20:37:00,493
28404,FLL,RDU,2022-01-03 19:00:00,2022-01-03 18:55:00,2022-01-03 21:12:00,2022-01-03 21:07:00,682
12262,ONT,OAK,2022-01-03 19:09:00,2022-01-03 19:06:00,2022-01-03 20:33:00,2022-01-03 20:27:00,361
23321,RNO,ANC,2022-01-03 19:21:00,2022-01-03 19:25:00,2022-01-04 00:47:00,2022-01-04 00:50:00,1970
97141,TUL,BOS,2022-01-03 19:30:00,2022-01-03 19:47:00,2022-01-03 23:29:00,2022-01-03 23:43:00,1391
10752,SAT,EWR,2022-01-03 19:47:00,2022-01-03 19:52:00,2022-01-04 00:12:00,2022-01-04 00:18:00,1567
66204,SAN,SMF,2022-01-03 19:52:00,2022-01-03 19:51:00,2022-01-03 21:34:00,2022-01-03 21:33:00,480
39441,IAD,PIT,2022-01-03 19:57:00,2022-01-03 20:00:00,2022-01-03 20:55:00,2022-01-03 20:58:00,182
28192,FAI,DCA,2022-01-03 20:15:00,2022-01-03 20:14:00,2022-01-04 04:56:00,2022-01-04 05:01:00,3277
11269,SAV,LAX,2022-01-03 20:15:00,2022-01-03 20:12:00,2022-01-04 02:07:00,2022-01-04 02:09:00,2147
57324,BUF,MKE,2022-01-03 20:23:00,2022-01-03 20:24:00,2022-01-03 22:03:00,2022-01-03 22:05:00,463
62072,MKE,MDW,2022-01-03 20:50:00,2022-01-03 20:45:00,2022-01-03 21:32:00,2022-01-03 21:27:00,80
90421,SLC,LGA,2022-01-03 21:02:00,2022-01-03 20:57:00,2022-01-04 02:29:00,2022-01-04 02:21:00,1978
20888,PHX,ADW,2022-01-03 21:07:00,2022-01-03 21:13:00,2022-01-04 02:35:00,2022-01-04 02:44:00,1984
50608,SAV,IAH,2022-01-03 21:12:00,2022-01-03 21:09:00,2022-01-03 23:49:00,2022-01-03 23:49:00,849
64196,MEM,PWM,2022-01-03 21:33:00,2022-01-03 21:30:00,2022-01-04 01:03:00,2022-01-04 01:03:00,1203
31646,PVD,ORD,2022-01-03 21:40:00,2022-01-03 21:43:00,2022-01-04 00:17:00,2022-01-04 00:32:00,847
