trade_id,stock_symbol,trade_type,trade_date,trade_time,trade_price,trade_volume,trade_currency,trade_fee,trade_notes
12,TSLA,sell,11/28/2022,3:15 PM,379494.0,66941,IDR,361.86,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
13,FB,sell,10/7/2022,6:13 PM,609186.44,836038,XAF,668.82,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
14,AAPL,buy,2/16/2023,1:14 AM,797145.34,52447,NAD,469.66,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
15,AMZN,sell,3/20/2023,2:33 PM,930350.56,38328,PYG,123.71,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
16,FB,sell,11/5/2022,3:53 AM,99388.69,390124,PHP,130.32,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
17,TSLA,sell,11/30/2022,7:56 PM,605625.7,80146,BRL,777.3,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
18,AMZN,buy,11/11/2022,11:54 AM,687132.53,854724,EUR,364.1,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
19,AMZN,sell,7/9/2022,3:36 AM,452930.03,302500,TZS,560.87,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget
20,GOOGL,sell,12/24/2022,5:21 PM,527876.25,191329,PHP,755.38,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
21,FB,buy,11/5/2022,11:51 PM,101192.98,939610,DOP,886.24,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
22,FB,sell,6/7/2022,9:06 AM,27071.89,134388,IDR,992.82,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
23,AAPL,sell,11/19/2022,5:43 PM,110166.86,927979,CNY,449.43,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
24,AMZN,sell,5/3/2023,11:07 PM,527766.92,830856,EUR,954.27,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
25,FB,buy,6/19/2022,11:01 AM,898115.48,341339,PLN,512.46,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
26,TSLA,sell,10/5/2022,7:30 AM,249230.91,988347,UAH,504.29,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
27,AMZN,buy,7/14/2022,2:09 AM,591031.04,704423,CNY,636.82,praesent id massa id nisl venenatis lacinia aenean sit amet justo
28,FB,buy,4/15/2023,5:05 AM,565944.39,609605,NIO,792.42,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
29,AMZN,sell,2/20/2023,4:47 AM,466383.41,443018,USD,563.11,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
30,AMZN,buy,1/26/2023,2:24 PM,355697.09,216331,JPY,394.15,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem
31,AAPL,buy,9/23/2022,6:45 AM,223379.24,314024,CNY,623.19,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
32,FB,sell,10/13/2022,7:16 AM,923823.85,298803,PHP,981.94,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
33,AAPL,buy,7/21/2022,4:03 PM,155193.13,402838,CNY,625.65,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
34,AMZN,sell,5/6/2023,12:49 AM,748458.99,909886,JPY,71.83,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
35,AAPL,sell,2/7/2023,8:49 PM,362776.81,833317,IDR,485.47,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
36,AAPL,sell,2/17/2023,5:49 AM,705858.1,257413,PHP,286.2,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
37,AAPL,buy,1/1/2023,7:12 PM,760110.49,925621,EUR,698.69,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
38,FB,buy,9/23/2022,7:28 PM,669297.84,567313,IDR,924.2,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
39,GOOGL,buy,3/10/2023,5:30 AM,178485.95,307363,RUB,765.09,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros
40,TSLA,sell,10/9/2022,6:08 PM,533355.49,178784,MYR,75.04,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
41,AAPL,buy,11/29/2022,1:10 AM,355979.58,535947,SEK,151.42,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
42,TSLA,sell,1/10/2023,6:14 AM,331946.63,890331,RUB,311.47,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam
43,FB,buy,1/5/2023,3:43 AM,574048.7,82510,XOF,31.03,nullam orci pede venenatis non sodales sed tincidunt eu felis
44,TSLA,buy,8/1/2022,12:56 PM,986626.8,898438,CNY,638.76,libero nam dui proin leo odio porttitor id consequat in consequat ut
45,GOOGL,sell,5/15/2022,12:32 AM,427584.95,192938,CNY,152.53,vulputate luctus cum sociis natoque penatibus et magnis dis parturient
46,AMZN,buy,7/16/2022,12:06 AM,155862.61,796308,BTN,376.56,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
47,AAPL,sell,9/5/2022,5:32 AM,130004.84,724632,GTQ,964.68,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
48,FB,sell,10/4/2022,2:34 PM,411608.02,414629,IDR,652.02,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis
49,FB,buy,2/12/2023,5:54 PM,351959.14,113676,EUR,171.97,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
50,AAPL,sell,1/11/2023,1:18 PM,736262.18,944991,CNY,691.79,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel
51,FB,sell,10/16/2022,6:11 PM,264848.47,558192,EUR,579.05,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien
52,GOOGL,sell,3/30/2023,8:02 AM,766964.21,292829,PLN,48.82,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
53,GOOGL,buy,2/21/2023,8:24 AM,925876.69,438339,IDR,655.15,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus
54,AAPL,buy,3/9/2023,1:44 PM,302550.08,221542,CNY,134.73,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
55,GOOGL,sell,12/30/2022,12:21 AM,560834.98,178836,EUR,851.22,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
56,AAPL,buy,11/26/2022,2:33 AM,307900.41,67594,CNY,218.3,eget nunc donec quis orci eget orci vehicula condimentum curabitur in
57,AMZN,buy,10/27/2022,8:31 AM,927277.45,597654,EUR,991.4,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
58,GOOGL,buy,4/11/2023,10:57 PM,187025.13,256657,SEK,51.71,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin
59,GOOGL,buy,7/1/2022,4:58 PM,223604.22,449811,EGP,488.15,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
60,AAPL,sell,12/25/2022,1:12 PM,962848.05,661509,RUB,272.1,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non
61,FB,buy,5/27/2022,3:05 PM,358707.89,833414,THB,424.23,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
62,GOOGL,buy,9/12/2022,5:49 PM,244732.34,523054,RUB,175.66,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci
63,TSLA,sell,5/13/2023,3:47 AM,800972.44,38184,IDR,820.3,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
64,AAPL,buy,1/28/2023,11:40 AM,956945.01,517802,CAD,401.2,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
65,FB,sell,10/17/2022,12:01 AM,766146.82,694873,EUR,509.02,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
66,AMZN,sell,12/21/2022,10:59 AM,410656.55,231969,EUR,160.43,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum
67,GOOGL,buy,6/17/2022,4:07 AM,773954.02,756706,IDR,286.69,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
68,FB,sell,2/9/2023,10:26 PM,268345.08,408398,KGS,138.07,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
69,GOOGL,sell,6/11/2022,11:14 PM,236534.22,458011,HTG,772.35,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
70,TSLA,sell,11/30/2022,8:25 PM,696967.27,71382,KMF,200.65,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
71,GOOGL,buy,11/10/2022,8:22 PM,778549.31,654225,CNY,708.32,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
72,AAPL,buy,8/1/2022,3:53 AM,33653.94,782477,BRL,961.23,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
73,FB,buy,8/24/2022,5:41 AM,608657.15,734164,BRL,416.85,fusce consequat nulla nisl nunc nisl duis bibendum felis sed
74,FB,buy,2/15/2023,6:03 AM,521546.9,168568,SEK,962.84,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
75,AAPL,buy,7/26/2022,4:55 AM,230125.45,975459,PYG,857.01,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
76,AAPL,sell,12/26/2022,3:48 AM,825433.16,705607,BRL,549.3,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
77,AMZN,buy,12/17/2022,5:27 PM,101865.87,873888,GEL,405.83,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
78,FB,buy,6/20/2022,3:59 PM,605282.43,601890,AFN,997.67,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
79,GOOGL,buy,7/26/2022,7:01 AM,827379.78,290500,CNY,427.19,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
80,AAPL,sell,1/26/2023,8:15 AM,996978.55,885321,CNY,169.49,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
81,AAPL,buy,5/6/2023,2:23 AM,758361.33,932771,CNY,595.41,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
82,FB,sell,10/13/2022,10:26 PM,38904.05,213023,RUB,954.06,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
83,AAPL,buy,7/5/2022,9:14 AM,23478.23,282021,CNY,789.1,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
84,TSLA,buy,1/29/2023,11:59 AM,530070.38,497598,CNY,776.66,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
85,AAPL,sell,8/19/2022,12:14 PM,177234.08,647486,PHP,210.76,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
86,AAPL,sell,5/31/2022,7:47 PM,164344.57,202483,EGP,709.46,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
87,TSLA,sell,9/30/2022,2:59 PM,442102.89,903715,IDR,711.82,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
88,AAPL,sell,6/27/2022,4:41 PM,180355.51,191625,CNY,967.17,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
89,AAPL,sell,3/21/2023,5:19 PM,212256.9,674252,PLN,186.78,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
90,AAPL,buy,7/19/2022,4:17 PM,818252.01,941790,CNY,372.65,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
91,TSLA,buy,4/30/2023,3:13 PM,383502.44,272298,SEK,957.36,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
92,AMZN,sell,10/12/2022,11:09 PM,275351.79,949940,TZS,315.29,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
93,TSLA,sell,3/14/2023,3:19 AM,191239.64,527570,CAD,584.74,lorem quisque ut erat curabitur gravida nisi at nibh in
94,GOOGL,sell,3/5/2023,4:29 AM,348882.62,921235,EUR,873.67,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
95,AAPL,buy,9/2/2022,5:18 PM,253656.4,554064,MGA,341.16,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
96,AAPL,buy,9/30/2022,2:54 PM,265761.17,836624,EUR,118.65,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
97,TSLA,sell,3/8/2023,8:26 AM,386072.05,946969,IRR,29.19,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
98,GOOGL,buy,6/3/2022,2:14 PM,92314.07,855689,BRL,25.19,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
99,FB,sell,12/28/2022,8:03 PM,124649.99,775222,PHP,468.5,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
100,AMZN,buy,2/6/2023,9:09 PM,748082.03,743497,RUB,621.74,in congue etiam justo etiam pretium iaculis justo in hac
101,FB,buy,7/12/2022,12:53 AM,289755.86,971576,SEK,849.58,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
102,AMZN,buy,5/23/2022,9:33 PM,546163.01,900243,CNY,967.24,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis
103,TSLA,sell,9/29/2022,10:06 PM,147481.74,17730,BRL,289.84,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
104,GOOGL,buy,1/25/2023,7:03 PM,686245.33,753623,IDR,953.19,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
105,GOOGL,sell,1/29/2023,5:18 PM,314981.97,929548,PHP,807.25,odio consequat varius integer ac leo pellentesque ultrices mattis odio
106,GOOGL,buy,6/27/2022,5:33 PM,468364.7,416543,PLN,7.06,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
107,TSLA,buy,7/23/2022,12:08 AM,201484.52,862485,EUR,951.5,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
108,FB,buy,8/20/2022,1:04 PM,139290.41,834369,ARS,994.1,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
109,FB,buy,12/4/2022,1:54 PM,111667.8,365169,PHP,131.5,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
110,AMZN,buy,11/19/2022,1:33 PM,405547.68,971767,CNY,877.16,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
111,FB,buy,7/8/2022,4:34 PM,707965.01,859294,COP,218.73,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
112,AMZN,buy,9/25/2022,6:50 AM,621367.42,773986,KZT,66.43,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
113,TSLA,buy,5/29/2022,11:50 AM,301028.8,733189,PLN,588.82,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
114,AAPL,sell,12/5/2022,8:07 AM,57925.17,519797,USD,706.51,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
115,AAPL,sell,10/12/2022,10:39 AM,783030.07,85863,THB,736.83,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
116,AAPL,buy,4/29/2023,11:16 PM,638340.67,235718,EUR,912.75,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
117,AMZN,sell,5/5/2023,6:59 PM,678987.07,645572,IDR,112.6,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
118,AMZN,sell,6/24/2022,3:57 PM,739441.99,111442,BRL,22.0,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
119,FB,buy,6/30/2022,9:26 AM,258451.88,482387,CZK,332.18,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
120,TSLA,sell,2/17/2023,11:11 PM,899018.12,154670,PHP,91.36,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
121,FB,buy,6/8/2022,7:24 AM,640026.39,928066,ZAR,185.24,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
122,GOOGL,sell,7/12/2022,12:53 PM,369797.5,119943,RUB,50.02,cubilia curae nulla dapibus dolor vel est donec odio justo
123,FB,buy,9/4/2022,8:58 AM,698007.93,538837,BRL,509.06,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor
124,AMZN,sell,7/10/2022,4:39 PM,458730.69,773633,CNY,121.81,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
125,AAPL,buy,10/10/2022,5:08 PM,854621.13,184890,THB,98.77,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
126,FB,buy,2/3/2023,5:54 AM,730616.81,841708,CNY,638.63,nulla sed accumsan felis ut at dolor quis odio consequat varius integer
127,FB,sell,9/24/2022,9:00 PM,279195.7,867882,ZAR,595.89,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
128,TSLA,sell,1/1/2023,8:56 AM,787404.82,892917,PHP,368.97,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
129,FB,buy,7/15/2022,2:18 AM,218761.15,172202,PHP,753.94,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
130,FB,buy,4/17/2023,6:29 AM,207659.18,82248,MKD,607.89,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
131,GOOGL,sell,5/24/2022,7:03 AM,256887.83,587563,CNY,404.88,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
132,AAPL,buy,2/14/2023,4:43 AM,877719.7,329060,XOF,544.07,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
133,AMZN,sell,8/6/2022,1:20 PM,612753.7,441126,SYP,514.75,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
134,AMZN,sell,4/13/2023,6:49 PM,159616.34,190632,CNY,281.09,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis
135,AMZN,buy,4/1/2023,6:23 AM,46712.91,791606,CNY,370.4,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
136,GOOGL,buy,7/27/2022,10:37 PM,549959.49,96403,THB,885.33,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
137,FB,buy,7/11/2022,2:14 PM,547281.04,196475,EUR,847.48,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
138,TSLA,sell,1/16/2023,12:20 PM,648363.94,224933,IDR,526.52,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
139,TSLA,sell,12/23/2022,7:54 AM,534335.71,182317,CNY,437.23,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
140,TSLA,sell,2/19/2023,7:11 AM,977749.18,575220,IDR,764.56,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
141,AAPL,sell,7/31/2022,2:24 PM,323989.58,94672,EUR,551.41,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
142,AAPL,sell,12/11/2022,9:44 PM,32969.17,423912,EUR,302.0,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu
143,TSLA,sell,12/4/2022,11:35 AM,874179.67,31311,ILS,553.09,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
144,TSLA,sell,1/5/2023,11:57 PM,529048.8,759585,RUB,930.72,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
145,TSLA,buy,7/13/2022,10:05 PM,397065.02,430363,CNY,689.53,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id
146,TSLA,buy,4/8/2023,4:20 AM,437797.55,85418,CNY,861.59,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere
147,GOOGL,sell,10/15/2022,11:07 PM,906075.04,772382,PHP,293.38,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor
148,AAPL,sell,3/17/2023,10:15 PM,166435.83,158562,AFN,325.18,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
149,TSLA,buy,9/15/2022,4:15 PM,368998.97,263313,CNY,297.97,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
150,FB,sell,10/23/2022,4:07 AM,65834.16,372020,RUB,333.4,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
151,AMZN,buy,8/10/2022,1:32 PM,80808.89,477117,CNY,671.53,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
152,TSLA,sell,6/6/2022,9:22 PM,975843.39,860787,RUB,174.04,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
153,AAPL,buy,10/3/2022,6:26 PM,13819.56,479068,ILS,779.07,in leo maecenas pulvinar lobortis est phasellus sit amet erat
154,AAPL,buy,2/6/2023,7:33 PM,62940.51,269977,IDR,262.3,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
155,FB,sell,3/10/2023,2:03 AM,608902.59,332397,CNY,197.87,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a
156,GOOGL,buy,11/20/2022,8:36 AM,299847.93,533346,CNY,703.15,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
157,FB,buy,9/13/2022,11:26 PM,129438.16,847241,CNY,659.61,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
158,AAPL,sell,1/25/2023,10:33 AM,829282.67,287740,CNY,554.88,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
159,FB,buy,5/4/2023,9:36 PM,621095.98,229009,BRL,885.86,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
160,GOOGL,buy,2/1/2023,2:12 AM,596665.13,665559,CNY,90.03,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
161,GOOGL,sell,9/8/2022,1:28 AM,973048.22,859333,CNY,989.3,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum
162,AAPL,buy,6/13/2022,3:29 PM,520561.98,81953,PEN,534.71,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
163,GOOGL,sell,11/5/2022,8:32 AM,617791.85,612598,CZK,480.04,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
164,AAPL,sell,5/12/2023,8:21 PM,336401.23,907162,NPR,140.43,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
165,FB,buy,5/26/2022,2:46 PM,611935.67,685984,CNY,927.14,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
166,TSLA,sell,3/27/2023,1:44 PM,911281.56,12773,IDR,608.82,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
167,FB,sell,4/16/2023,4:56 PM,832476.03,95869,RUB,404.87,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
168,AMZN,sell,4/1/2023,2:00 AM,948763.47,699104,ARS,995.58,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
169,AMZN,buy,4/11/2023,10:00 PM,364525.68,67737,IDR,360.79,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
170,FB,buy,2/21/2023,1:28 AM,427572.67,868367,HTG,530.08,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
